City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
207,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,10.36,CA,2022-02-03 04:29:24,light snow
208,Saint-Philippe,-21.3585,55.7679,83.79,94,100,37.11,RE,2022-02-03 04:29:25,heavy intensity rain
209,Bredasdorp,-34.5322,20.0403,65.28,82,0,6.53,ZA,2022-02-03 04:29:25,clear sky
210,Codrington,-38.2667,141.9667,61.75,61,99,16.73,AU,2022-02-03 04:29:26,overcast clouds
211,Yumen,40.2833,97.2,25.38,39,19,5.03,CN,2022-02-03 04:29:26,few clouds
212,Colares,38.7992,-9.4469,55.33,75,100,1.01,PT,2022-02-03 04:29:26,overcast clouds
213,Ribeira Grande,38.5167,-28.7,58.93,70,16,3.27,PT,2022-02-03 04:29:26,few clouds
214,Petatlan,17.5167,-101.2667,69.42,81,0,4.03,MX,2022-02-03 04:29:27,clear sky
215,Muravlenko,63.7898,74.523,19.44,95,100,12.35,RU,2022-02-03 04:29:27,light snow
216,Fortuna,40.5982,-124.1573,48.92,85,100,1.01,US,2022-02-03 04:29:27,overcast clouds
217,Airai,-8.9266,125.4092,72.93,63,95,5.59,TL,2022-02-03 04:29:28,overcast clouds
218,Weyburn,49.6668,-103.8511,-18.81,69,21,10.36,CA,2022-02-03 04:29:28,snow
219,Lasa,46.6166,10.7002,40.46,94,52,8.1,IT,2022-02-03 04:29:28,broken clouds
220,Sao Joao Da Barra,-21.6403,-41.0511,73.15,94,100,8.41,BR,2022-02-03 04:29:29,light rain
221,Touros,-5.1989,-35.4608,77.9,79,57,10.09,BR,2022-02-03 04:29:29,broken clouds
222,Sao Filipe,14.8961,-24.4956,72.97,77,0,12.97,CV,2022-02-03 04:23:05,clear sky
223,Ariquemes,-9.9133,-63.0408,72.46,98,100,1.23,BR,2022-02-03 04:29:29,overcast clouds
224,Camana,-16.6228,-72.7111,70.93,84,74,7.7,PE,2022-02-03 04:29:29,broken clouds
225,Oga,46.4631,10.347,33.08,96,78,6.76,IT,2022-02-03 04:29:30,broken clouds
